fecha,departamento,demanda_departamental_real_gwh,demanda_departamental_predicha_gwh,lluvia_promedio_depto_mm,error_absoluto,error_porcentual
2026-01-01,Antioquia,0.0,0.0,0.0,0.0,0.0
2026-01-01,Arauca,0.0,0.0,0.0,0.0,0.0
2026-01-01,Atlántico,0.0,0.0,0.0,0.0,0.0
2026-01-01,Bogotá,0.0,0.0,0.0,0.0,0.0
2026-01-01,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-01-01,Boyacá,0.342121,0.5187824617622103,0.0,0.17666146176221031,51.63712739016242
2026-01-01,Caldas,0.29807,0.8402222604456709,2.4166666666666665,0.542152260445671,181.8875573713944
2026-01-01,Caquetá,0.009042,0.0161316016148183,0.0,0.0070896016148183,78.40736312853338
2026-01-01,Casanare,0.5469839999999999,0.724482458296992,0.0,0.17749845829699207,32.45039252554971
2026-01-01,Cauca,0.058133,0.0415625704841161,0.0,0.016570429515883896,28.50433775213755
2026-01-01,Cesar,0.143554,0.15583121641198688,4.16,0.012277216411986897,8.552332611249868
2026-01-01,Chocó,0.0,0.017366762319201902,27.410000000000004,0.017366762319201902,173667623.19201902
2026-01-01,Cundinamarca,0.319072,0.4522387975626079,0.0,0.13316679756260785,41.73565633745431
2026-01-01,Córdoba,3.800455,3.619423651613383,0.0,0.18103134838661683,4.763412483775642
2026-01-01,Huila,0.17120399999999997,0.5131217700356385,0.0,0.34191777003563856,199.7136457467548
2026-01-01,La Guajira,0.20657699999999998,0.4498315841315413,0.0,0.2432545841315413,117.75491577283519
2026-01-01,Magdalena,0.324087,0.4427804750200929,16.0,0.11869347502009286,36.62395324641147
2026-01-01,Meta,6.429988,4.337758288191677,35.660000000000004,2.092229711808323,32.53862539952579
2026-01-01,Nariño,0.122546,0.1353905346453577,0.0,0.012844534645357689,10.481397676968584
2026-01-01,Norte de Santander,0.001253,0.0016104568054756,0.0,0.0003574568054756,28.527849376748787
2026-01-01,Putumayo,0.061433,0.0506491080016431,0.1875,0.010783891998356901,17.553904648912532
2026-01-01,Quindío,0.074362,0.0948871754960193,7.76,0.0205251754960193,27.601695403364303
2026-01-01,Risaralda,0.2495,0.41895996740020053,7.5200000000000005,0.16945996740020053,67.9198238910694
2026-01-01,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-01-01,Sucre,0.210207,0.2539077309410775,10.0,0.04370073094107749,20.789378499355223
2026-01-01,Tolima,0.083782,0.1371069582685051,0.16666666666666666,0.05332495826850511,63.64726540757988
2026-01-01,Valle del Cauca,2.5921279999999998,3.1012591862484893,0.3333333333333333,0.5091311862484895,19.641436853594648
2026-01-12,Antioquia,0.0,0.0,0.0,0.0,0.0
2026-01-12,Arauca,0.0,0.0,0.0,0.0,0.0
2026-01-12,Atlántico,0.0,0.0,0.0,0.0,0.0
2026-01-12,Bogotá,0.0,0.0,0.0,0.0,0.0
2026-01-12,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-01-12,Boyacá,0.63725,0.5187548832795145,3.6,0.11849511672048552,18.59476106096656
2026-01-12,Caldas,0.960126,0.8688382185266594,9.458333333333334,0.0912877814733406,9.507895893096427
2026-01-12,Caquetá,0.007557,0.0161316016148183,0.0,0.008574601614818298,113.46553219882331
2026-01-12,Casanare,0.546137,0.7170745024217767,0.0,0.17093750242177674,31.2993807948992
2026-01-12,Cauca,0.20327,0.0415625704841161,16.8,0.1617074295158839,79.55301892093374
2026-01-12,Cesar,0.201547,0.15583121641198688,0.0,0.04571578358801312,22.682441971236944
2026-01-12,Chocó,0.0,0.017366762319201902,5.3,0.017366762319201902,173667623.19201902
2026-01-12,Cundinamarca,0.427991,0.4522387975626079,0.0,0.024247797562607865,5.665492264103366
2026-01-12,Córdoba,3.339237,3.5028797843584156,2.6666666666666665,0.16364278435841584,4.900604056206716
2026-01-12,Huila,0.185847,0.5131217700356385,1.6800000000000002,0.32727477003563854,176.09902361928692
2026-01-12,La Guajira,0.64847,0.4498315841315413,0.0,0.1986384158684587,30.63185849850769
2026-01-12,Magdalena,0.5174300000000001,0.5046084873328424,0.0,0.012821512667157697,2.4779221188113336
2026-01-12,Meta,6.587273,4.306771824879031,23.759999999999998,2.2805011751209685,34.619806582465735
2026-01-12,Nariño,0.134911,0.1353905346453577,1.3599999999999999,0.00047953464535768764,0.35544515259183634
2026-01-12,Norte de Santander,0.001839,0.0016104568054756,6.453333333333333,0.00022854319452439995,12.427512331330442
2026-01-12,Putumayo,0.060462,0.0506491080016431,8.625,0.009812891998356901,16.22984746679262
2026-01-12,Quindío,0.094623,0.09513458557508761,6.08,0.0005115855750876114,0.5406566279043664
2026-01-12,Risaralda,0.432453,0.41895996740020053,16.759999999999998,0.013493032599799448,3.1201153160662356
2026-01-12,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-01-12,Sucre,0.230433,0.2539077309410775,0.66,0.023474730941077493,10.18722575427778
2026-01-12,Tolima,0.129228,0.1371069582685051,33.27777777777778,0.007878958268505099,6.096943122860979
2026-01-12,Valle del Cauca,3.264228,3.232199053019658,2.9166666666666665,0.03202894698034209,0.9812104694347649
2026-03-23,Antioquia,2.920116,2.625170366934304,0.0,0.2949456330656961,10.100476558316466
2026-03-23,Arauca,0.010536,0.026581264350056,0.0,0.016045264350055998,152.2897600709946
2026-03-23,Atlántico,2.501057,2.392866695735372,0.0,0.10819030426462772,4.325783212139884
2026-03-23,Bogotá,0.0,0.0,0.0,0.0,0.0
2026-03-23,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-03-23,Boyacá,0.345845,0.5535264660668832,2.6999999999999997,0.20768146606688315,60.050444581196395
2026-03-23,Caldas,1.010349,0.9282864920256505,13.541666666666666,0.08206250797434944,8.122194129170222
2026-03-23,Caquetá,0.011654,0.0161316016148183,0.0,0.0044776016148183,38.42112384336636
2026-03-23,Casanare,0.6811140000000001,0.7259406121447542,0.0,0.04482661214475414,6.581366920459342
2026-03-23,Cauca,0.0,0.0,0.0,0.0,0.0
2026-03-23,Cesar,0.19310300000000002,0.15583121641198688,14.8,0.03727178358801314,19.301503165597023
2026-03-23,Chocó,0.0,0.017366762319201902,16.675,0.017366762319201902,173667623.19201902
2026-03-23,Cundinamarca,0.412839,0.4522387975626079,0.0,0.03939979756260786,9.543622721750026
2026-03-23,Córdoba,3.6174,3.5022536454507533,0.4583333333333333,0.1151463545492466,3.1831247368533786
2026-03-23,Huila,0.20880200000000002,0.5131217700356385,4.64,0.3043197700356385,145.7456132896606
2026-03-23,La Guajira,0.48291799999999996,0.4498315841315413,0.0,0.033086415868458674,6.851352648549735
2026-03-23,Magdalena,0.562477,0.4637275059221262,24.0,0.09874949407787381,17.556183154556628
2026-03-23,Meta,6.400243,4.211589059148673,0.0,2.188653940851327,34.196419377071855
2026-03-23,Nariño,0.12603799999999998,0.1353905346453577,1.9200000000000004,0.009352534645357707,7.4204080541716815
2026-03-23,Norte de Santander,0.00206,0.0016104568054756,4.3,0.0004495431945244002,21.822379237207596
2026-03-23,Putumayo,0.07638400000000001,0.0506491080016431,8.2,0.025734891998356907,33.69146500472665
2026-03-23,Quindío,0.086027,0.0951653502554671,5.5200000000000005,0.009138350255467095,10.622652415174135
2026-03-23,Risaralda,0.448793,0.41895996740020053,18.6,0.02983303259979947,6.647392435947134
2026-03-23,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-03-23,Sucre,0.030941999999999997,0.0390536592746005,0.0,0.008111659274600502,26.215683061961727
2026-03-23,Tolima,0.17688399999999999,0.1371069582685051,12.958333333333334,0.03977704173149488,22.487641325801512
2026-03-23,Valle del Cauca,3.412597,3.258754127337286,2.0833333333333335,0.15384287266271368,4.508087893528152
2026-04-02,Antioquia,2.58643,2.5065822251290735,1.6,0.07984777487092654,3.0871809622610487
2026-04-02,Arauca,0.01054,0.026493243972341297,1.5,0.015953243972341297,151.3589073667036
2026-04-02,Atlántico,2.3946490000000002,2.2914302963316953,1.5,0.10321870366830499,4.310389674531258
2026-04-02,Bogotá,0.0,0.0,0.0,0.0,0.0
2026-04-02,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-04-02,Boyacá,0.317484,0.5536437176273522,0.13333333333333333,0.23615971762735222,74.38475960642938
2026-04-02,Caldas,0.8934730000000001,0.9368722774313146,0.0,0.043399277431314554,4.857368599339621
2026-04-02,Caquetá,0.007435,0.0161316016148183,0.0,0.008696601614818299,116.96825713507175
2026-04-02,Casanare,0.615336,0.7277275628768869,9.09,0.1123915628768869,18.265071611344002
2026-04-02,Cauca,0.130766,0.0415625704841161,5.6,0.08920342951588389,68.21606739846531
2026-04-02,Cesar,0.201991,0.15583121641198688,0.0,0.04615978358801312,22.852395058578658
2026-04-02,Chocó,0.0,0.017366762319201902,0.0,0.017366762319201902,173667623.19201902
2026-04-02,Cundinamarca,0.348347,0.4522387975626079,0.0,0.10389179756260786,29.82422543618441
2026-04-02,Córdoba,3.438613,3.618904907154424,0.0,0.180291907154424,5.243157826429093
2026-04-02,Huila,0.206573,0.5131217700356385,0.0,0.3065487700356385,148.39730032284396
2026-04-02,La Guajira,0.6057910000000001,0.4498315841315413,0.0,0.1559594158684588,25.744755748101767
2026-04-02,Magdalena,0.553529,0.4777052260798172,0.0,0.07582377392018286,13.698247526391228
2026-04-02,Meta,6.11201,4.3225931731054175,8.459999999999999,1.7894168268945823,29.277059821022483
2026-04-02,Nariño,0.125662,0.1353905346453577,6.04,0.009728534645357695,7.74182638440822
2026-04-02,Norte de Santander,0.001813,0.0016104568054756,1.7333333333333332,0.00020254319452439997,11.171653467129248
2026-04-02,Putumayo,0.060205,0.0506491080016431,2.5125,0.009555891998356901,15.872253818007673
2026-04-02,Quindío,0.090926,0.098491664740239,0.0,0.007565664740238995,8.320682652014527
2026-04-02,Risaralda,0.483197,0.41895996740020053,0.0,0.06423703259979946,13.294170135655323
2026-04-02,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-04-02,Sucre,0.030623,0.0390536592746005,0.0,0.008430659274600499,27.530472264485095
2026-04-02,Tolima,0.166835,0.1371069582685051,2.5,0.029728041731494903,17.818826954543233
2026-04-02,Valle del Cauca,3.07568,3.1826242281644177,0.0,0.10694422816441751,3.477092149271325
2026-04-03,Antioquia,2.372499,2.2895168229431824,20.0,0.08298217705681754,3.49766961786077
2026-04-03,Arauca,0.010529,0.0264791019373893,18.75,0.0159501019373893,151.48719525757218
2026-04-03,Atlántico,2.129064,2.1614399186290867,18.75,0.03237591862908662,1.520664408257346
2026-04-03,Bogotá,0.0,0.0,0.0,0.0,0.0
2026-04-03,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-04-03,Boyacá,0.35331599999999996,0.5536437176273522,1.6500000000000001,0.20032771762735224,56.699303727377725
2026-04-03,Caldas,0.89204,0.9449596557368005,0.0,0.052919655736800464,5.932430736688644
2026-04-03,Caquetá,0.005003,0.0161316016148183,3.75,0.011128601614818299,222.43812454538968
2026-04-03,Casanare,0.604835,0.7259422393702293,0.0,0.12110723937022927,20.023186053702357
2026-04-03,Cauca,0.110388,0.0415625704841161,0.0,0.0688254295158839,62.348645940699456
2026-04-03,Cesar,0.189498,0.15583121641198688,0.8,0.033666783588013116,17.766299280933406
2026-04-03,Chocó,0.0,0.017366762319201902,12.029999999999998,0.017366762319201902,173667623.19201902
2026-04-03,Cundinamarca,0.347818,0.4522387975626079,0.0,0.10442079756260786,30.021676440103796
2026-04-03,Córdoba,3.37333,3.618076186030912,0.0,0.2447461860309117,7.255328868073352
2026-04-03,Huila,0.204617,0.5131217700356385,1.4666666666666666,0.30850477003563853,150.771810239842
2026-04-03,La Guajira,0.5621700000000001,0.4498315841315413,0.0,0.11233841586845877,19.9829969351191
2026-04-03,Magdalena,0.50908,0.494443941938455,0.0,0.014636058061544999,2.8750015270772464
2026-04-03,Meta,6.165904,4.26893783874936,0.13333333333333328,1.8969661612506403,30.76541830969309
2026-04-03,Nariño,0.119268,0.1353905346453577,0.0,0.016122534645357692,13.517903623408904
2026-04-03,Norte de Santander,0.001765,0.0016104568054756,1.72,0.0001545431945244001,8.755938749604823
2026-04-03,Putumayo,0.061982999999999996,0.0506491080016431,1.3125,0.011333891998356896,18.285481776952906
2026-04-03,Quindío,0.080842,0.09853869933393711,0.0,0.01769669933393711,21.890474190259635
2026-04-03,Risaralda,0.375348,0.41895996740020053,0.0,0.04361196740020051,11.619075161794653
2026-04-03,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-04-03,Sucre,0.028808,0.0390536592746005,0.0,0.0102456592746005,35.56531421156997
2026-04-03,Tolima,0.15825899999999998,0.1371069582685051,6.8055555555555545,0.021152041731494875,13.365458138209558
2026-04-03,Valle del Cauca,2.9125690000000004,3.1925770413145327,0.0,0.2800080413145323,9.613782209216469
2026-05-01,Antioquia,0.0,0.0,0.0,0.0,0.0
2026-05-01,Arauca,0.0,0.0,0.0,0.0,0.0
2026-05-01,Atlántico,0.0,0.0,0.0,0.0,0.0
2026-05-01,Bogotá,0.0,0.0,2.35,0.0,0.0
2026-05-01,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-05-01,Boyacá,0.657333,0.5537445008810463,8.183333333333334,0.10358849911895363,15.758907211879352
2026-05-01,Caldas,0.715633,0.9307909820176432,2.0833333333333335,0.21515798201764325,30.06540768957028
2026-05-01,Caquetá,0.009801,0.0161316016148183,11.25,0.006330601614818299,64.59131880100416
2026-05-01,Casanare,0.627898,0.7378679777803538,36.35066666666667,0.10996997778035389,17.513987308281784
2026-05-01,Cauca,0.313551,0.0415625704841161,0.0,0.2719884295158839,86.74455538060104
2026-05-01,Cesar,0.206101,0.15583121641198688,0.0,0.05026978358801312,24.390847763440423
2026-05-01,Chocó,0.0,0.017366762319201902,44.3,0.017366762319201902,173667623.19201902
2026-05-01,Cundinamarca,0.41258,0.4522387975626079,3.9166666666666665,0.03965879756260787,9.612389500549936
2026-05-01,Córdoba,0.0,0.0,0.0,0.0,0.0
2026-05-01,Huila,0.254657,0.5131217700356385,0.0,0.2584647700356385,101.49525042944568
2026-05-01,La Guajira,0.565733,0.4498315841315413,0.0,0.11590141586845876,20.48694593028233
2026-05-01,Magdalena,0.444362,0.4531386727793349,11.2,0.008776672779334915,1.9751177152463857
2026-05-01,Meta,6.214356,4.567336427466773,8.52,1.6470195725332273,26.503463430207102
2026-05-01,Nariño,0.126187,0.1353905346453577,5.6,0.009203534645357697,7.293567416612612
2026-05-01,Norte de Santander,0.002299,0.0016104568054756,0.0,0.0006885431945243999,29.94955196038294
2026-05-01,Putumayo,0.064779,0.0506491080016431,3.025,0.014129891998356903,21.81245437118737
2026-05-01,Quindío,0.098108,0.09852244052971271,0.0,0.0004144405297127063,0.4224329182833352
2026-05-01,Risaralda,0.603807,0.41895996740020053,1.44,0.18484703259979945,30.613594996156046
2026-05-01,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-05-01,Sucre,0.032609,0.0390536592746005,7.6499999999999995,0.0064446592746005005,19.763431255964225
2026-05-01,Tolima,0.153502,0.1371069582685051,0.125,0.01639504173149489,10.680669087977995
2026-05-01,Valle del Cauca,3.6940480000000004,3.294090382732314,0.0,0.3999576172676864,10.827082273564885
2026-05-18,Antioquia,0.0,0.0,0.0,0.0,0.0
2026-05-18,Arauca,0.0,0.0,0.0,0.0,0.0
2026-05-18,Atlántico,0.0,0.0,0.0,0.0,0.0
2026-05-18,Bogotá,0.0,0.0,0.75,0.0,0.0
2026-05-18,Bolívar,0.0,0.0205643842136162,0.0,0.0205643842136162,205643842.13616198
2026-05-18,Boyacá,0.639923,0.5535893585822914,0.5833333333333334,0.0863336414177086,13.491254427264398
2026-05-18,Caldas,0.983172,0.9526296784515873,2.25,0.030542321548412743,3.1065084479380918
2026-05-18,Caquetá,0.009067,0.0161316016148183,0.0,0.007064601614818299,77.91544968868787
2026-05-18,Casanare,0.6503310000000001,0.7390404024090816,8.189333333333334,0.08870940240908154,13.640653920083176
2026-05-18,Cauca,0.265965,0.0415625704841161,0.0,0.2244024295158839,84.37291413478934
2026-05-18,Cesar,0.162494,0.15583121641198688,0.0,0.006662783588013116,4.100325660012401
2026-05-18,Chocó,0.0,0.017366762319201902,25.85,0.017366762319201902,173667623.19201902
2026-05-18,Cundinamarca,0.400717,0.4522387975626079,1.25,0.051521797562607885,12.857402175816764
2026-05-18,Córdoba,3.416851,3.4536691447559194,1.5833333333333333,0.03681814475591949,1.0775460986787215
2026-05-18,Huila,0.240288,0.5131217700356385,1.2533333333333334,0.2728337700356385,113.54447940853916
2026-05-18,La Guajira,0.5416780000000001,0.4498315841315413,0.0,0.09184641586845882,16.955906308335976
2026-05-18,Magdalena,0.492092,0.5046084873328424,0.0,0.012516487332842385,2.543525820068159
2026-05-18,Meta,5.165673,4.458918676605371,26.120000000000005,0.7067543233946294,13.68174721912236
2026-05-18,Nariño,0.126801,0.1353905346453577,1.6,0.008589534645357694,6.774026993442477
2026-05-18,Norte de Santander,0.00203,0.0016104568054756,0.0,0.00041954319452440015,20.667050631494433
2026-05-18,Putumayo,0.067905,0.0506491080016431,19.35,0.017255891998356893,25.411809818387326
2026-05-18,Quindío,0.0,0.0028461680955137,0.0,0.0028461680955137,28461680.955137
2026-05-18,Risaralda,0.47108,0.41895996740020053,1.28,0.05212003259979947,11.063944869959451
2026-05-18,Santander,0.0,0.0010784720856514,0.0,0.0010784720856514,10784720.856514
2026-05-18,Sucre,0.031305,0.0390536592746005,0.0,0.0077486592746005,24.75213799516595
2026-05-18,Tolima,0.144425,0.1371069582685051,0.08333333333333333,0.00731804173149489,5.0670183311705435
2026-05-18,Valle del Cauca,3.5786119999999997,3.258897109810495,0.0,0.3197148901895046,8.934047314883534
